{'type': 'start', 'physical': {'height': 760, 'width': 1400, 'border': [{'x': 2240, 'y': 1160}, {'x': 2240, 'y': 1920}, {'x': 840, 'y': 1920}, {'x': 840, 'y': 1160}], 'obstacle_list': [[{'x': 1160, 'y': 1520}, {'x': 1160, 'y': 1640}, {'x': 1080, 'y': 1640}, {'x': 1080, 'y': 1520}], [{'x': 1920, 'y': 1640}, {'x': 1920, 'y': 1720}, {'x': 1800, 'y': 1720}, {'x': 1800, 'y': 1640}], [{'x': 2120, 'y': 1760}, {'x': 2120, 'y': 1840}, {'x': 2040, 'y': 1840}, {'x': 2040, 'y': 1760}], [{'x': 1800, 'y': 1360}, {'x': 1800, 'y': 1440}, {'x': 1720, 'y': 1440}, {'x': 1720, 'y': 1360}], [{'x': 960, 'y': 1600}, {'x': 960, 'y': 1720}, {'x': 880, 'y': 1720}, {'x': 880, 'y': 1600}], [{'x': 1160, 'y': 1720}, {'x': 1160, 'y': 1840}, {'x': 1080, 'y': 1840}, {'x': 1080, 'y': 1720}], [{'x': 2120, 'y': 1480}, {'x': 2120, 'y': 1600}, {'x': 2000, 'y': 1600}, {'x': 2000, 'y': 1480}], [{'x': 1840, 'y': 1200}, {'x': 1840, 'y': 1320}, {'x': 1760, 'y': 1320}, {'x': 1760, 'y': 1200}]]}, 'virtual': {'height': 1120, 'width': 2240, 'border': [{'x': 2760, 'y': 1600}, {'x': 2760, 'y': 2720}, {'x': 520, 'y': 2720}, {'x': 520, 'y': 1600}], 'obstacle_list': [[{'x': 2480, 'y': 1720}, {'x': 2480, 'y': 1800}, {'x': 2400, 'y': 1800}, {'x': 2400, 'y': 1720}], [{'x': 2680, 'y': 2000}, {'x': 2680, 'y': 2080}, {'x': 2600, 'y': 2080}, {'x': 2600, 'y': 2000}], [{'x': 1800, 'y': 1600}, {'x': 1800, 'y': 1680}, {'x': 1720, 'y': 1680}, {'x': 1720, 'y': 1600}], [{'x': 1720, 'y': 2120}, {'x': 1720, 'y': 2240}, {'x': 1640, 'y': 2240}, {'x': 1640, 'y': 2120}], [{'x': 880, 'y': 2080}, {'x': 880, 'y': 2200}, {'x': 760, 'y': 2200}, {'x': 760, 'y': 2080}], [{'x': 1120, 'y': 2160}, {'x': 1120, 'y': 2280}, {'x': 1040, 'y': 2280}, {'x': 1040, 'y': 2160}], [{'x': 2080, 'y': 2320}, {'x': 2080, 'y': 2400}, {'x': 2000, 'y': 2400}, {'x': 2000, 'y': 2320}], [{'x': 1560, 'y': 2000}, {'x': 1560, 'y': 2080}, {'x': 1480, 'y': 2080}, {'x': 1480, 'y': 2000}]]}}
{'type': 'running', 'physical': {'user_x': 1182.599554175903, 'user_y': 1319.5177731810445, 'user_direction': 0.35737629205228216}, 'virtual': {'user_x': 1187.0386317494178, 'user_y': 1891.1416716701776, 'user_direction': 6.106743504124232}, 'user_v': 0, 'user_w': 0, 'delta_t': 0.02, 'need_reset': False}
{'type': 'running', 'physical': {'user_x': 1182.599554175903, 'user_y': 1319.5177731810445, 'user_direction': 0.35737629205228216}, 'virtual': {'user_x': 1187.0386317494178, 'user_y': 1891.1416716701776, 'user_direction': 6.106743504124232}, 'user_v': 0, 'user_w': 0.1, 'delta_t': 0.02, 'need_reset': False}
{'type': 'running', 'physical': {'user_x': 1182.599554175903, 'user_y': 1319.5177731810445, 'user_direction': 0.35737629205228216}, 'virtual': {'user_x': 1187.0386317494178, 'user_y': 1891.1416716701776, 'user_direction': -0.07644180305535464}, 'user_v': 0, 'user_w': 0.1, 'delta_t': 0.02, 'need_reset': False}
{'type': 'running', 'physical': {'user_x': 1182.599554175903, 'user_y': 1319.5177731810445, 'user_direction': 0.4380214533426048}, 'virtual': {'user_x': 1187.0386317494178, 'user_y': 1891.1416716701776, 'user_direction': -0.17644180305535562}, 'user_v': 7.999999999999999, 'user_w': 0, 'delta_t': 0.02, 'need_reset': False}
{'type': 'running', 'physical': {'user_x': 1182.599554175903, 'user_y': 1319.5177731810445, 'user_direction': 0.5872751846858884}, 'virtual': {'user_x': 1194.914427636014, 'user_y': 1889.7374497672452, 'user_direction': -0.17644180305535562}, 'user_v': 7.999999999999999, 'user_w': 0, 'delta_t': 0.02, 'need_reset': False}
{'type': 'running', 'physical': {'user_x': 1189.3750079182514, 'user_y': 1323.771386537392, 'user_direction': 0.5606085180192217}, 'virtual': {'user_x': 1202.79022352261, 'user_y': 1888.3332278643127, 'user_direction': -0.17644180305535478}, 'user_v': 7.999999999999999, 'user_w': 0, 'delta_t': 0.02, 'need_reset': False}
{'type': 'running', 'physical': {'user_x': 1196.2614689995974, 'user_y': 1327.8428302340562, 'user_direction': 0.5339418513525551}, 'virtual': {'user_x': 1210.666019409206, 'user_y': 1886.9290059613802, 'user_direction': -0.17644180305535384}, 'user_v': 7.999999999999999, 'user_w': 0, 'delta_t': 0.02, 'need_reset': False}
{'type': 'running', 'physical': {'user_x': 1203.2540406711375, 'user_y': 1331.729209193753, 'user_direction': 0.5072751846858885}, 'virtual': {'user_x': 1218.541815295802, 'user_y': 1885.5247840584477, 'user_direction': -0.17644180305535276}, 'user_v': 7.999999999999999, 'user_w': 0, 'delta_t': 0.02, 'need_reset': False}
{'type': 'running', 'physical': {'user_x': 1210.3477507321206, 'user_y': 1335.4277599329896, 'user_direction': 0.48060851801922183}, 'virtual': {'user_x': 1226.417611182398, 'user_y': 1884.1205621555152, 'user_direction': -0.17644180305535148}, 'user_v': 7.999999999999999, 'user_w': 0, 'delta_t': 0.02, 'need_reset': False}
{'type': 'running', 'physical': {'user_x': 1217.5375550654244, 'user_y': 1338.9358525270934, 'user_direction': 0.45394185135255516}, 'virtual': {'user_x': 1234.2934070689942, 'user_y': 1882.716340252583, 'user_direction': -0.17644180305534996}, 'user_v': 7.999999999999999, 'user_w': 0, 'delta_t': 0.02, 'need_reset': False}
{'type': 'running', 'physical': {'user_x': 1224.8183412242715, 'user_y': 1342.2509924802691, 'user_direction': 0.4272751846858885}, 'virtual': {'user_x': 1242.1692029555902, 'user_y': 1881.3121183496507, 'user_direction': -0.17644180305535104}, 'user_v': 7.999999999999999, 'user_w': 0, 'delta_t': 0.02, 'need_reset': False}
